K,precision,recall,F1,MCC,AUC
3,0.695260198,0.864957358,0.770631605,0.500551196,0.742837344
5,0.695414281,0.865647013,0.77100505,0.501402986,0.743182172
7,0.660250279,0.927259019,0.771084471,0.492058837,0.725181429
9,0.656423599,0.933940379,0.770672706,0.491322057,0.722833392
Distance,precision,recall,F1,MCC,AUC
2,0.695414281,0.865647013,0.77100505,0.501402986,0.743182172
3,0.721000159,0.851026571,0.780431835,0.53009653,0.76087376
4,0.728413678,0.841339008,0.780660758,0.533512688,0.763637324
5,0.732631054,0.836909813,0.781159434,0.536165501,0.76546075
6,0.733130704,0.834910937,0.780528259,0.535318892,0.765233871
7,0.73554549,0.833439633,0.781307771,0.53765308,0.76658006
8,0.738731386,0.832653015,0.782741503,0.541703942,0.768762412
9,0.737904644,0.831144232,0.781612092,0.539445955,0.767684858
10,0.737829603,0.831082008,0.781546347,0.539465989,0.767683504
